Person ID,Age,Gender,Undergraduate Major,Undergraduate GPA,Years of Work Experience,Current Job Title,Annual Salary (Before MBA),Has Management Experience,GRE/GMAT Score,Entrepreneurial Interest,MBA Funding Source,Desired Post-MBA Role,Expected Post-MBA Salary,Reason for MBA,Online vs. On-Campus MBA,Decided to Pursue MBA?
41,32,Female,Business,3.95,5,Analyst,50417,No,696,2.9,Self-funded,Marketing Director,183695,Entrepreneurship,On-Campus,No
42,32,Female,Engineering,3.39,4,Manager,113083,No,665,6.1,Scholarship,Marketing Director,128025,Career Growth,On-Campus,No
43,34,Female,Business,2.98,9,Analyst,101564,No,477,4.7,Scholarship,Startup Founder,72613,Networking,On-Campus,Yes
44,34,Other,Economics,3.55,8,Analyst,75978,Yes,530,3.9,Employer,Marketing Director,188208,Entrepreneurship,On-Campus,Yes
45,34,Male,Economics,3.47,4,Entrepreneur,62498,Yes,787,4.2,Scholarship,Finance Manager,152764,Networking,On-Campus,No
46,23,Female,Business,3.78,8,Entrepreneur,81172,No,257,5.2,Loan,Finance Manager,78468,Skill Enhancement,Online,Yes
47,32,Female,Business,2.41,3,Analyst,70453,No,446,4.8,Employer,Marketing Director,98133,Networking,Online,Yes
48,27,Other,Economics,3.72,4,Analyst,36023,No,396,7.4,Employer,Finance Manager,134882,Networking,Online,No
49,24,Other,Business,2.6,0,Engineer,119364,Yes,736,7.2,Self-funded,Executive,89770,Skill Enhancement,Online,No
50,29,Female,Science,3.88,5,Manager,81092,No,447,1.2,Employer,Consultant,136348,Career Growth,Online,No
51,23,Male,Economics,2.56,2,Engineer,83548,Yes,496,7.4,Loan,Marketing Director,168859,Entrepreneurship,Online,No
52,25,Female,Arts,3.85,9,Entrepreneur,92533,Yes,436,3.0,Self-funded,Startup Founder,123415,Networking,On-Campus,Yes
53,23,Male,Economics,3.93,1,Engineer,37016,No,382,4.8,Loan,Executive,97109,Career Growth,On-Campus,No
54,27,Female,Engineering,2.29,5,Engineer,88554,No,408,3.0,Scholarship,Startup Founder,80499,Entrepreneurship,Online,No
55,25,Female,Science,3.95,0,Analyst,83405,Yes,646,2.1,Self-funded,Startup Founder,192401,Career Growth,Online,Yes
56,29,Male,Arts,2.17,8,Analyst,39546,Yes,367,6.3,Employer,Consultant,128880,Career Growth,Online,Yes
57,27,Female,Business,2.44,4,Manager,68793,No,634,9.6,Employer,Finance Manager,67776,Networking,Online,No
58,22,Male,Engineering,2.89,6,Consultant,70344,Yes,381,4.3,Loan,Startup Founder,65814,Career Growth,Online,Yes
59,24,Male,Engineering,3.99,9,Consultant,102143,Yes,623,7.1,Loan,Marketing Director,192258,Career Growth,Online,No
60,29,Male,Science,2.98,8,Engineer,56706,No,653,5.1,Self-funded,Marketing Director,107755,Skill Enhancement,Online,Yes
61,32,Female,Arts,3.1,8,Manager,70521,Yes,598,2.6,Loan,Executive,110849,Networking,Online,Yes
62,34,Female,Engineering,3.39,6,Manager,53406,No,281,9.3,Scholarship,Executive,133094,Networking,Online,No
63,22,Female,Arts,3.94,3,Entrepreneur,66035,No,346,5.0,Loan,Startup Founder,137232,Entrepreneurship,On-Campus,Yes
64,30,Male,Arts,3.57,3,Analyst,44542,Yes,588,1.1,Employer,Consultant,188759,Entrepreneurship,On-Campus,No
65,29,Female,Engineering,2.45,6,Entrepreneur,100790,No,636,5.1,Scholarship,Finance Manager,89214,Skill Enhancement,Online,Yes
66,30,Female,Arts,2.61,7,Consultant,99739,Yes,434,1.1,Self-funded,Consultant,124906,Networking,Online,No
67,25,Male,Science,2.2,6,Manager,68658,Yes,433,8.1,Self-funded,Consultant,121106,Skill Enhancement,Online,Yes
68,22,Male,Engineering,3.29,9,Consultant,42452,No,300,4.3,Scholarship,Executive,73063,Networking,Online,No
69,24,Male,Science,2.36,3,Analyst,52681,No,251,6.5,Employer,Finance Manager,60638,Skill Enhancement,Online,No
70,32,Female,Science,2.51,3,Analyst,50826,No,326,7.9,Self-funded,Startup Founder,72292,Skill Enhancement,Online,No
71,32,Female,Arts,3.78,7,Analyst,47432,Yes,728,1.2,Self-funded,Consultant,125581,Networking,On-Campus,Yes
72,27,Female,Arts,2.65,8,Consultant,48343,No,711,5.7,Loan,Startup Founder,106510,Skill Enhancement,Online,Yes
73,32,Male,Engineering,3.13,6,Manager,82850,No,648,6.7,Employer,Executive,101864,Entrepreneurship,On-Campus,Yes
74,33,Female,Business,2.8,2,Entrepreneur,84827,No,288,5.2,Loan,Startup Founder,108454,Skill Enhancement,On-Campus,Yes
75,28,Male,Engineering,2.15,9,Manager,70659,No,795,3.8,Scholarship,Marketing Director,185373,Career Growth,Online,No
76,23,Male,Science,2.73,0,Manager,94237,No,500,5.2,Employer,Finance Manager,104198,Career Growth,On-Campus,Yes
77,34,Female,Arts,2.82,4,Engineer,77841,No,315,4.5,Self-funded,Consultant,65161,Career Growth,Online,No
78,21,Male,Science,3.79,5,Manager,72201,No,678,6.5,Loan,Executive,133405,Career Growth,Online,Yes
79,24,Female,Economics,2.65,8,Entrepreneur,50314,No,602,5.2,Scholarship,Startup Founder,151555,Networking,Online,No
80,22,Male,Economics,2.76,4,Engineer,84517,No,632,2.2,Employer,Executive,111746,Skill Enhancement,On-Campus,No
81,28,Female,Science,3.57,0,Manager,77416,No,276,1.8,Self-funded,Marketing Director,176129,Entrepreneurship,Online,No
82,24,Male,Business,3.52,3,Engineer,104603,Yes,316,2.5,Loan,Executive,151288,Skill Enhancement,Online,Yes
83,22,Female,Business,3.6,1,Manager,41912,No,749,1.6,Scholarship,Finance Manager,147654,Networking,Online,Yes
84,34,Male,Engineering,3.91,3,Analyst,109637,No,661,3.3,Self-funded,Finance Manager,142419,Entrepreneurship,On-Campus,Yes
85,26,Male,Engineering,3.59,6,Analyst,85755,Yes,619,1.6,Employer,Finance Manager,162146,Entrepreneurship,Online,Yes
86,26,Female,Engineering,2.82,8,Manager,45941,Yes,685,6.4,Scholarship,Marketing Director,190372,Career Growth,Online,Yes
87,30,Male,Arts,3.64,2,Engineer,84938,Yes,310,5.0,Self-funded,Finance Manager,106980,Career Growth,Online,Yes
88,24,Female,Business,3.02,2,Entrepreneur,44591,No,299,3.3,Scholarship,Marketing Director,89201,Networking,Online,Yes
89,26,Other,Science,2.56,3,Analyst,58281,No,774,1.1,Loan,Consultant,122117,Networking,Online,Yes
90,33,Male,Economics,2.61,6,Engineer,41730,Yes,445,2.3,Scholarship,Marketing Director,171803,Entrepreneurship,Online,Yes
91,22,Male,Business,2.45,5,Entrepreneur,39011,Yes,619,7.0,Self-funded,Startup Founder,157273,Entrepreneurship,On-Campus,Yes
92,30,Female,Business,2.29,4,Engineer,66677,No,524,3.2,Self-funded,Finance Manager,71983,Skill Enhancement,On-Campus,Yes
93,32,Other,Business,2.37,3,Manager,92969,No,465,4.0,Employer,Executive,176575,Skill Enhancement,Online,No
94,22,Female,Engineering,2.13,7,Analyst,74976,Yes,541,1.7,Employer,Marketing Director,146540,Networking,On-Campus,Yes
95,30,Female,Arts,3.78,3,Analyst,97420,No,575,5.9,Employer,Consultant,174242,Networking,On-Campus,No
96,34,Female,Science,3.86,2,Analyst,100038,No,774,8.2,Scholarship,Startup Founder,124413,Career Growth,On-Campus,No
97,24,Male,Engineering,3.17,6,Manager,58564,No,785,4.2,Loan,Consultant,91714,Skill Enhancement,On-Campus,No
98,34,Other,Arts,3.68,1,Entrepreneur,37497,No,423,2.0,Employer,Consultant,123172,Skill Enhancement,Online,No
99,28,Other,Business,2.37,3,Entrepreneur,38298,Yes,679,9.6,Self-funded,Startup Founder,125586,Career Growth,Online,No
100,34,Male,Arts,3.8,7,Analyst,40887,No,284,5.6,Scholarship,Finance Manager,65290,Career Growth,On-Campus,No
101,27,Male,Engineering,3.01,3,Entrepreneur,40677,No,413,1.8,Scholarship,Executive,135378,Networking,Online,No
102,32,Male,Business,2.13,9,Analyst,59362,No,643,5.5,Scholarship,Startup Founder,198441,Networking,On-Campus,Yes
103,29,Male,Engineering,2.28,6,Entrepreneur,50413,Yes,517,1.4,Loan,Finance Manager,89204,Career Growth,On-Campus,Yes
104,34,Female,Science,2.62,1,Analyst,64193,No,574,1.5,Employer,Finance Manager,60801,Networking,Online,Yes
105,28,Male,Business,2.09,4,Entrepreneur,100141,No,653,3.9,Scholarship,Marketing Director,151636,Skill Enhancement,Online,Yes
106,25,Male,Arts,2.62,3,Engineer,110563,No,286,7.1,Scholarship,Finance Manager,116400,Skill Enhancement,On-Campus,Yes
107,33,Male,Engineering,2.12,8,Analyst,50440,No,745,7.3,Loan,Startup Founder,185944,Entrepreneurship,On-Campus,No
108,22,Other,Economics,2.47,6,Analyst,95776,Yes,779,9.1,Scholarship,Finance Manager,146529,Career Growth,Online,No
109,25,Female,Arts,2.53,8,Consultant,47880,Yes,360,2.0,Self-funded,Marketing Director,97372,Entrepreneurship,On-Campus,No
110,28,Male,Arts,3.99,9,Analyst,76365,Yes,737,5.2,Scholarship,Marketing Director,164217,Networking,Online,Yes
111,30,Male,Business,2.47,6,Entrepreneur,89850,No,474,5.3,Scholarship,Executive,121771,Networking,On-Campus,Yes
112,29,Other,Arts,2.48,1,Engineer,59466,No,546,5.1,Self-funded,Startup Founder,130581,Skill Enhancement,On-Campus,Yes
113,32,Female,Engineering,3.37,1,Engineer,41164,Yes,446,8.6,Scholarship,Startup Founder,137215,Skill Enhancement,Online,Yes
114,32,Male,Economics,3.72,1,Entrepreneur,58595,No,578,8.3,Scholarship,Executive,63558,Career Growth,Online,No
115,32,Male,Science,2.77,4,Manager,81913,No,346,5.6,Self-funded,Startup Founder,153036,Career Growth,On-Campus,Yes
116,33,Male,Economics,3.75,0,Analyst,63373,No,697,8.0,Scholarship,Consultant,72276,Entrepreneurship,Online,Yes
117,29,Male,Engineering,2.68,6,Engineer,61178,No,407,1.5,Self-funded,Marketing Director,74306,Networking,On-Campus,Yes
118,33,Female,Business,2.39,1,Entrepreneur,31038,No,743,5.8,Scholarship,Consultant,144884,Networking,On-Campus,Yes
119,33,Female,Engineering,2.66,3,Engineer,63174,Yes,266,1.9,Self-funded,Finance Manager,102876,Networking,Online,Yes
120,21,Male,Arts,3.22,8,Engineer,96607,Yes,796,8.8,Employer,Executive,171362,Career Growth,Online,Yes
121,29,Female,Business,2.73,7,Entrepreneur,119750,Yes,585,5.5,Self-funded,Consultant,151324,Skill Enhancement,Online,No
122,27,Male,Science,3.35,9,Consultant,83361,No,673,1.2,Scholarship,Finance Manager,71494,Career Growth,Online,No
123,29,Female,Science,2.47,1,Engineer,51005,No,652,5.9,Loan,Startup Founder,86631,Entrepreneurship,Online,No
124,28,Female,Engineering,3.4,3,Engineer,118008,Yes,680,7.6,Employer,Startup Founder,153772,Networking,On-Campus,Yes
125,21,Male,Arts,2.69,3,Manager,75877,Yes,742,2.2,Self-funded,Finance Manager,84153,Skill Enhancement,On-Campus,Yes
126,32,Male,Science,2.91,1,Consultant,50827,Yes,693,3.5,Self-funded,Finance Manager,163848,Entrepreneurship,On-Campus,No
127,28,Female,Economics,3.12,1,Manager,92405,Yes,260,5.0,Self-funded,Finance Manager,73133,Networking,Online,Yes
128,28,Male,Business,3.37,4,Entrepreneur,77274,No,788,4.7,Scholarship,Finance Manager,67948,Entrepreneurship,On-Campus,No
129,31,Male,Economics,2.48,3,Analyst,80604,No,519,5.5,Scholarship,Finance Manager,182300,Networking,Online,Yes
130,23,Female,Science,3.67,7,Entrepreneur,114373,Yes,375,1.1,Scholarship,Executive,74139,Career Growth,Online,Yes
131,21,Other,Science,3.44,3,Consultant,98523,Yes,371,7.6,Self-funded,Finance Manager,96349,Skill Enhancement,Online,Yes
132,28,Male,Engineering,2.47,7,Entrepreneur,49173,No,601,3.8,Loan,Startup Founder,163129,Networking,On-Campus,Yes
133,23,Female,Engineering,3.95,4,Consultant,30200,Yes,617,7.3,Employer,Startup Founder,176036,Entrepreneurship,Online,Yes
134,23,Male,Business,3.33,0,Manager,70593,No,641,8.7,Scholarship,Executive,72135,Skill Enhancement,Online,No
135,21,Female,Engineering,2.9,8,Engineer,52584,Yes,324,7.2,Employer,Finance Manager,129018,Skill Enhancement,Online,Yes
136,31,Female,Arts,2.32,7,Entrepreneur,109956,No,699,7.0,Loan,Marketing Director,171559,Career Growth,On-Campus,No
137,25,Female,Business,3.07,0,Entrepreneur,88126,No,254,6.2,Scholarship,Startup Founder,62790,Career Growth,On-Campus,Yes
138,30,Male,Arts,2.33,2,Engineer,35225,Yes,407,1.0,Self-funded,Finance Manager,70454,Entrepreneurship,Online,Yes
139,27,Female,Engineering,2.86,2,Entrepreneur,100457,Yes,485,9.1,Scholarship,Marketing Director,135081,Career Growth,Online,Yes
140,30,Female,Business,2.82,4,Entrepreneur,66481,No,738,8.5,Self-funded,Marketing Director,61293,Skill Enhancement,On-Campus,No
141,29,Male,Science,3.44,6,Analyst,52036,No,452,2.8,Loan,Consultant,61345,Career Growth,On-Campus,No
142,32,Male,Economics,2.38,0,Analyst,39130,No,611,2.6,Scholarship,Marketing Director,120541,Entrepreneurship,On-Campus,Yes
143,27,Male,Science,3.64,0,Engineer,65884,No,580,1.3,Employer,Marketing Director,75016,Entrepreneurship,Online,No
144,29,Male,Arts,2.65,9,Manager,56996,No,570,4.4,Employer,Startup Founder,88830,Skill Enhancement,On-Campus,Yes
145,28,Female,Science,2.89,5,Entrepreneur,84342,Yes,506,9.9,Scholarship,Marketing Director,174922,Networking,Online,Yes
146,32,Male,Science,3.54,4,Entrepreneur,71723,Yes,625,1.9,Scholarship,Marketing Director,182931,Networking,On-Campus,Yes
147,22,Male,Economics,3.25,2,Manager,67387,Yes,424,6.1,Scholarship,Startup Founder,118026,Career Growth,Online,No
148,21,Female,Economics,2.62,2,Entrepreneur,89142,Yes,578,3.4,Employer,Consultant,197236,Career Growth,Online,No
149,27,Male,Science,2.77,3,Manager,100724,No,532,8.8,Employer,Consultant,108925,Networking,On-Campus,No
150,27,Female,Economics,2.61,9,Engineer,92574,Yes,543,5.6,Self-funded,Finance Manager,196746,Networking,Online,Yes
151,34,Male,Science,3.19,1,Engineer,67734,Yes,652,8.7,Employer,Finance Manager,113436,Skill Enhancement,Online,No
152,28,Other,Business,2.67,8,Manager,104997,Yes,449,9.4,Loan,Marketing Director,77151,Career Growth,On-Campus,No
153,25,Female,Science,3.45,3,Manager,46342,Yes,282,6.7,Employer,Marketing Director,107648,Entrepreneurship,Online,No
154,23,Female,Engineering,3.16,9,Consultant,53924,Yes,757,3.5,Scholarship,Finance Manager,64740,Skill Enhancement,Online,Yes
155,32,Male,Economics,2.29,2,Analyst,116113,Yes,390,5.0,Employer,Finance Manager,101016,Career Growth,Online,Yes
156,28,Female,Economics,2.62,9,Analyst,73800,No,292,6.7,Employer,Marketing Director,164484,Skill Enhancement,Online,Yes
157,26,Male,Arts,2.44,6,Entrepreneur,51825,No,667,6.9,Employer,Startup Founder,147125,Skill Enhancement,On-Campus,Yes
158,31,Male,Arts,2.78,8,Entrepreneur,110690,No,525,1.6,Loan,Startup Founder,122951,Career Growth,Online,No
159,23,Male,Engineering,3.03,1,Manager,71633,No,331,4.2,Loan,Startup Founder,60740,Skill Enhancement,Online,Yes
160,21,Female,Economics,3.01,5,Manager,67372,No,462,5.8,Loan,Finance Manager,145800,Networking,On-Campus,Yes
161,23,Male,Economics,3.51,4,Analyst,71901,Yes,446,4.0,Loan,Consultant,174757,Networking,On-Campus,Yes
162,25,Female,Arts,2.38,0,Entrepreneur,47326,No,294,6.2,Employer,Finance Manager,164667,Career Growth,Online,No
163,34,Male,Arts,3.89,6,Analyst,99279,No,779,2.6,Scholarship,Startup Founder,112111,Entrepreneurship,Online,Yes
164,23,Male,Science,2.69,0,Engineer,101819,Yes,552,1.3,Scholarship,Executive,67340,Entrepreneurship,On-Campus,No
165,21,Female,Economics,2.6,9,Analyst,66604,No,762,4.1,Scholarship,Startup Founder,110440,Career Growth,Online,No
166,25,Male,Economics,3.37,8,Analyst,110274,Yes,577,6.1,Scholarship,Executive,95298,Networking,On-Campus,Yes
167,30,Female,Science,3.61,3,Manager,39381,Yes,286,1.1,Employer,Startup Founder,90642,Skill Enhancement,Online,Yes
168,27,Male,Economics,2.76,7,Entrepreneur,75816,Yes,269,6.5,Loan,Startup Founder,138234,Entrepreneurship,Online,Yes
169,34,Female,Engineering,3.49,0,Engineer,73913,No,600,4.2,Employer,Executive,68431,Career Growth,On-Campus,No
170,27,Female,Arts,3.77,4,Analyst,40505,No,435,9.9,Loan,Startup Founder,77343,Networking,On-Campus,Yes
171,31,Male,Arts,3.53,2,Analyst,92818,Yes,290,8.0,Self-funded,Executive,185100,Entrepreneurship,Online,No
172,29,Male,Arts,2.07,3,Manager,45414,No,549,3.6,Self-funded,Executive,115825,Skill Enhancement,On-Campus,Yes
173,30,Female,Business,3.65,3,Consultant,102927,Yes,626,9.7,Employer,Finance Manager,162981,Networking,On-Campus,Yes
174,30,Female,Engineering,3.55,7,Entrepreneur,54311,Yes,484,3.5,Loan,Consultant,194874,Career Growth,On-Campus,Yes
175,32,Male,Engineering,3.34,9,Entrepreneur,64677,Yes,668,2.0,Self-funded,Finance Manager,180081,Networking,Online,No
176,33,Male,Science,3.52,9,Entrepreneur,89590,No,330,1.2,Loan,Consultant,122538,Career Growth,On-Campus,No
177,23,Female,Business,3.96,2,Analyst,65442,No,276,8.1,Self-funded,Consultant,132513,Entrepreneurship,On-Campus,No
178,27,Female,Economics,2.86,0,Analyst,33324,Yes,270,3.9,Self-funded,Startup Founder,179377,Networking,On-Campus,Yes
179,21,Male,Engineering,2.13,4,Analyst,117753,No,545,9.9,Self-funded,Executive,179566,Entrepreneurship,On-Campus,No
180,24,Male,Business,2.92,1,Consultant,98138,No,421,6.6,Self-funded,Consultant,140629,Career Growth,On-Campus,Yes
181,33,Male,Business,2.09,5,Analyst,117717,Yes,629,2.5,Loan,Consultant,62702,Networking,On-Campus,No
182,24,Female,Engineering,2.59,3,Entrepreneur,95690,No,398,4.0,Self-funded,Consultant,141769,Skill Enhancement,Online,Yes
183,34,Male,Science,3.17,8,Entrepreneur,57423,No,769,5.6,Loan,Executive,96189,Networking,Online,Yes
184,25,Other,Business,2.62,6,Manager,93151,No,414,7.5,Self-funded,Marketing Director,130089,Career Growth,On-Campus,No
185,27,Male,Arts,3.37,1,Consultant,42057,No,667,6.3,Self-funded,Consultant,167891,Entrepreneurship,Online,Yes
186,27,Male,Business,3.64,6,Engineer,91397,No,622,3.3,Self-funded,Executive,173019,Entrepreneurship,Online,No
187,33,Female,Unknown,2.84,9,Analyst,74601,Yes,357,5.3,Loan,Executive,65125,Skill Enhancement,On-Campus,No
188,31,Female,Unknown,3.8,7,Engineer,73339,Yes,565,2.9,Scholarship,Marketing Director,102926,Career Growth,Online,Yes
189,33,Female,Unknown,2.16,2,Analyst,50887,No,694,4.1,Loan,Finance Manager,154484,Entrepreneurship,Online,Yes
190,24,Male,Science,3.68,2,Consultant,31527,No,679,3.6,Employer,Consultant,66346,Entrepreneurship,Online,Yes
191,33,Female,Arts,3.66,1,Consultant,47069,No,734,9.1,Employer,Marketing Director,157384,Networking,On-Campus,Yes
192,27,Female,Engineering,2.64,0,Entrepreneur,105193,No,468,8.1,Scholarship,Marketing Director,154084,Career Growth,On-Campus,Yes
193,31,Male,Business,2.6,2,Consultant,46348,Yes,747,5.8,Employer,Finance Manager,107493,Networking,On-Campus,No
194,23,Male,Arts,2.61,9,Engineer,61999,Yes,498,2.6,Scholarship,Consultant,116426,Skill Enhancement,Online,No
195,26,Male,Business,3.62,6,Engineer,51593,No,523,6.3,Loan,Marketing Director,118911,Career Growth,Online,No
196,32,Male,Science,3.66,8,Consultant,42428,No,617,4.2,Employer,Marketing Director,187931,Entrepreneurship,Online,No
197,22,Female,Engineering,2.66,8,Engineer,112789,No,446,1.3,Self-funded,Finance Manager,73985,Networking,Online,No
198,30,Male,Science,3.19,5,Analyst,98613,Yes,755,7.2,Self-funded,Marketing Director,96066,Networking,On-Campus,No
199,33,Other,Science,2.28,5,Manager,58389,Yes,339,3.3,Loan,Startup Founder,117303,Entrepreneurship,On-Campus,Yes
200,34,Female,Science,2.94,4,Entrepreneur,30904,Yes,563,3.1,Scholarship,Consultant,150981,Networking,Online,Yes
201,29,Female,Science,4.0,1,Manager,43651,No,345,7.0,Loan,Consultant,136810,Skill Enhancement,On-Campus,Yes
202,25,Female,Business,2.32,6,Engineer,96778,No,539,8.8,Self-funded,Finance Manager,122963,Skill Enhancement,Online,Yes
203,26,Male,Economics,3.9,0,Entrepreneur,73586,No,368,3.5,Scholarship,Marketing Director,109006,Skill Enhancement,Online,No
204,32,Male,Business,3.65,5,Manager,98247,No,298,8.0,Employer,Startup Founder,167345,Networking,On-Campus,Yes
205,32,Male,Arts,3.94,3,Manager,31294,Yes,773,9.0,Scholarship,Startup Founder,95641,Career Growth,Online,Yes
206,32,Female,Science,2.36,2,Engineer,68705,Yes,503,2.9,Scholarship,Startup Founder,138502,Skill Enhancement,On-Campus,Yes
207,32,Male,Arts,2.43,0,Entrepreneur,97092,Yes,399,9.3,Loan,Marketing Director,83907,Skill Enhancement,Online,Yes
208,24,Female,Business,2.03,5,Entrepreneur,57136,No,718,3.5,Loan,Executive,148475,Career Growth,Online,Yes
209,34,Male,Science,3.45,6,Manager,112656,No,561,3.0,Scholarship,Finance Manager,111872,Networking,On-Campus,Yes
210,34,Male,Business,3.29,0,Entrepreneur,79930,No,699,4.2,Self-funded,Executive,61176,Skill Enhancement,On-Campus,No
211,31,Male,Science,2.36,0,Entrepreneur,68293,No,451,3.1,Employer,Finance Manager,186968,Skill Enhancement,Online,Yes
212,30,Female,Business,3.58,6,Analyst,70293,No,623,6.2,Employer,Consultant,123845,Skill Enhancement,On-Campus,Yes
213,27,Female,Engineering,2.6,5,Engineer,42375,No,638,5.3,Scholarship,Consultant,152585,Career Growth,On-Campus,Yes
214,32,Male,Economics,2.27,6,Engineer,60064,No,711,7.0,Self-funded,Marketing Director,136714,Entrepreneurship,Online,Yes
215,29,Female,Economics,2.85,7,Analyst,100320,Yes,654,7.5,Loan,Finance Manager,70910,Entrepreneurship,On-Campus,Yes
216,27,Male,Science,2.18,7,Manager,87152,No,255,1.7,Loan,Executive,193904,Networking,Online,Yes
217,34,Other,Engineering,2.53,8,Consultant,102330,No,288,2.4,Self-funded,Consultant,170655,Entrepreneurship,Online,Yes
218,21,Female,Arts,2.74,8,Manager,61682,No,401,8.1,Self-funded,Marketing Director,121111,Networking,Online,No
